Filename,City,M0_IoU,M2_IoU
dunedin_118.tif,dunedin,0.831503,0.855914
dunedin_1180.tif,dunedin,0.890831,0.898206
dunedin_1181.tif,dunedin,0.853755,0.883096
dunedin_1182.tif,dunedin,0.778226,0.871488
dunedin_1183.tif,dunedin,0.882876,0.923624
dunedin_1184.tif,dunedin,1.000000,0.000000
dunedin_1185.tif,dunedin,1.000000,1.000000
dunedin_1186.tif,dunedin,1.000000,0.000000
dunedin_1187.tif,dunedin,1.000000,1.000000
dunedin_1188.tif,dunedin,1.000000,1.000000
dunedin_1189.tif,dunedin,1.000000,1.000000
dunedin_119.tif,dunedin,0.833424,0.867518
dunedin_1190.tif,dunedin,1.000000,1.000000
dunedin_1191.tif,dunedin,1.000000,1.000000
dunedin_1192.tif,dunedin,1.000000,1.000000
dunedin_1193.tif,dunedin,1.000000,0.000000
dunedin_1194.tif,dunedin,1.000000,1.000000
dunedin_1195.tif,dunedin,1.000000,1.000000
dunedin_1196.tif,dunedin,1.000000,0.000000
dunedin_1197.tif,dunedin,1.000000,1.000000
dunedin_1198.tif,dunedin,1.000000,1.000000
dunedin_1199.tif,dunedin,1.000000,1.000000
dunedin_12.tif,dunedin,0.714505,0.791722
dunedin_120.tif,dunedin,0.818608,0.852331
dunedin_1200.tif,dunedin,1.000000,1.000000
dunedin_1201.tif,dunedin,0.886936,0.880313
dunedin_1202.tif,dunedin,0.895138,0.881395
dunedin_1203.tif,dunedin,0.817667,0.843003
dunedin_1204.tif,dunedin,0.862040,0.861483
dunedin_1205.tif,dunedin,0.877918,0.875694
dunedin_1206.tif,dunedin,0.872920,0.883776
dunedin_1207.tif,dunedin,0.780168,0.818062
dunedin_1208.tif,dunedin,1.000000,1.000000
dunedin_1209.tif,dunedin,1.000000,1.000000
dunedin_121.tif,dunedin,0.859020,0.859224
dunedin_1210.tif,dunedin,0.561039,0.789661
dunedin_1211.tif,dunedin,0.889440,0.902137
dunedin_1212.tif,dunedin,0.856015,0.866781
dunedin_1213.tif,dunedin,0.842385,0.878975
dunedin_1214.tif,dunedin,0.357949,0.369022
dunedin_1215.tif,dunedin,0.966160,0.969540
dunedin_1216.tif,dunedin,0.939137,0.935289
dunedin_1217.tif,dunedin,0.670987,0.933905
dunedin_1218.tif,dunedin,0.255500,0.619718
dunedin_1219.tif,dunedin,0.931023,0.739433
dunedin_122.tif,dunedin,0.806894,0.853555
dunedin_1220.tif,dunedin,0.000000,0.660088
dunedin_1221.tif,dunedin,0.900255,0.748959
dunedin_1222.tif,dunedin,1.000000,0.000000
dunedin_1223.tif,dunedin,1.000000,0.000000
dunedin_1224.tif,dunedin,1.000000,0.000000
dunedin_1225.tif,dunedin,1.000000,0.000000
dunedin_1226.tif,dunedin,1.000000,1.000000
dunedin_1227.tif,dunedin,1.000000,1.000000
dunedin_1228.tif,dunedin,1.000000,1.000000
dunedin_1229.tif,dunedin,1.000000,1.000000
dunedin_123.tif,dunedin,0.972838,0.979743
dunedin_1230.tif,dunedin,1.000000,1.000000
dunedin_1231.tif,dunedin,1.000000,1.000000
dunedin_1232.tif,dunedin,1.000000,0.000000
dunedin_1233.tif,dunedin,1.000000,0.000000
dunedin_1234.tif,dunedin,1.000000,0.000000
dunedin_1235.tif,dunedin,1.000000,0.000000
dunedin_1236.tif,dunedin,1.000000,1.000000
dunedin_1237.tif,dunedin,1.000000,0.000000
dunedin_1238.tif,dunedin,0.844012,0.860154
dunedin_1239.tif,dunedin,0.829206,0.843821
dunedin_124.tif,dunedin,0.010019,0.000000
dunedin_1240.tif,dunedin,0.826833,0.875465
dunedin_1241.tif,dunedin,0.859708,0.874455
dunedin_1242.tif,dunedin,0.858551,0.873499
dunedin_1243.tif,dunedin,0.863492,0.875909
dunedin_1244.tif,dunedin,0.810757,0.858791
dunedin_1245.tif,dunedin,0.832760,0.858736
dunedin_1246.tif,dunedin,1.000000,1.000000
dunedin_1247.tif,dunedin,0.822668,0.280707
dunedin_1248.tif,dunedin,0.949418,0.887621
dunedin_1249.tif,dunedin,0.275049,0.314421
dunedin_125.tif,dunedin,0.690145,0.821419
dunedin_1250.tif,dunedin,0.539173,0.837609
dunedin_1251.tif,dunedin,0.865100,0.911073
dunedin_1252.tif,dunedin,1.000000,1.000000
dunedin_1253.tif,dunedin,1.000000,1.000000
dunedin_1254.tif,dunedin,1.000000,1.000000
dunedin_1255.tif,dunedin,1.000000,1.000000
dunedin_1256.tif,dunedin,1.000000,1.000000
dunedin_1257.tif,dunedin,1.000000,1.000000
dunedin_1258.tif,dunedin,1.000000,0.000000
dunedin_1259.tif,dunedin,1.000000,0.000000
dunedin_126.tif,dunedin,0.687877,0.749552
dunedin_1260.tif,dunedin,1.000000,0.000000
dunedin_1261.tif,dunedin,1.000000,0.000000
dunedin_1262.tif,dunedin,1.000000,1.000000
dunedin_1263.tif,dunedin,1.000000,1.000000
dunedin_1264.tif,dunedin,1.000000,1.000000
dunedin_1265.tif,dunedin,1.000000,1.000000
dunedin_1266.tif,dunedin,1.000000,0.000000
dunedin_1267.tif,dunedin,1.000000,0.000000
dunedin_1268.tif,dunedin,1.000000,1.000000
dunedin_1269.tif,dunedin,1.000000,1.000000
dunedin_127.tif,dunedin,0.741526,0.816185
dunedin_1270.tif,dunedin,1.000000,1.000000
dunedin_1271.tif,dunedin,1.000000,0.000000
dunedin_1272.tif,dunedin,1.000000,0.000000
dunedin_1273.tif,dunedin,1.000000,0.000000
dunedin_1274.tif,dunedin,1.000000,0.000000
dunedin_1275.tif,dunedin,0.851028,0.836332
dunedin_1276.tif,dunedin,0.812492,0.842351
dunedin_1277.tif,dunedin,0.856911,0.865468
dunedin_1278.tif,dunedin,0.832969,0.853127
dunedin_1279.tif,dunedin,0.801601,0.858818
dunedin_128.tif,dunedin,0.800332,0.821419
dunedin_1280.tif,dunedin,0.865033,0.880543
dunedin_1281.tif,dunedin,0.828840,0.844636
dunedin_1282.tif,dunedin,0.872661,0.880751
dunedin_1283.tif,dunedin,0.786323,0.699111
dunedin_1284.tif,dunedin,0.098742,0.196919
dunedin_1285.tif,dunedin,1.000000,1.000000
dunedin_1286.tif,dunedin,1.000000,1.000000
dunedin_1287.tif,dunedin,1.000000,1.000000
dunedin_1288.tif,dunedin,1.000000,1.000000
dunedin_1289.tif,dunedin,1.000000,1.000000
dunedin_129.tif,dunedin,0.761747,0.769472
dunedin_1290.tif,dunedin,1.000000,0.000000
dunedin_1291.tif,dunedin,1.000000,0.000000
dunedin_1292.tif,dunedin,1.000000,0.000000
dunedin_1293.tif,dunedin,1.000000,1.000000
dunedin_1294.tif,dunedin,1.000000,0.000000
dunedin_1295.tif,dunedin,1.000000,1.000000
dunedin_1296.tif,dunedin,1.000000,0.000000
dunedin_1297.tif,dunedin,1.000000,0.000000
dunedin_1298.tif,dunedin,1.000000,1.000000
dunedin_1299.tif,dunedin,1.000000,1.000000
dunedin_13.tif,dunedin,0.850301,0.859286
dunedin_130.tif,dunedin,0.000000,0.000000
dunedin_1300.tif,dunedin,1.000000,1.000000
dunedin_1301.tif,dunedin,1.000000,1.000000
dunedin_1302.tif,dunedin,1.000000,1.000000
dunedin_1303.tif,dunedin,1.000000,1.000000
dunedin_1304.tif,dunedin,1.000000,1.000000
dunedin_1305.tif,dunedin,1.000000,0.000000
dunedin_1306.tif,dunedin,1.000000,1.000000
dunedin_1307.tif,dunedin,1.000000,1.000000
dunedin_1308.tif,dunedin,1.000000,1.000000
dunedin_1309.tif,dunedin,1.000000,1.000000
dunedin_131.tif,dunedin,0.000000,0.164961
dunedin_1310.tif,dunedin,1.000000,1.000000
dunedin_1311.tif,dunedin,1.000000,0.000000
dunedin_132.tif,dunedin,0.789309,0.821634
dunedin_133.tif,dunedin,0.719392,0.859049
dunedin_134.tif,dunedin,0.869311,0.897734
dunedin_135.tif,dunedin,0.909991,0.911732
dunedin_136.tif,dunedin,0.926477,0.917133
dunedin_137.tif,dunedin,0.770982,0.777490
dunedin_138.tif,dunedin,0.794827,0.877217
dunedin_139.tif,dunedin,0.821061,0.840933
dunedin_14.tif,dunedin,0.760449,0.767113
dunedin_140.tif,dunedin,0.848854,0.868859
dunedin_141.tif,dunedin,0.817848,0.839182
dunedin_142.tif,dunedin,0.812682,0.789843
dunedin_143.tif,dunedin,0.829100,0.876625
dunedin_144.tif,dunedin,0.731158,0.836950
dunedin_145.tif,dunedin,0.745767,0.792058
