image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
kitsap_1936,HL-Residual,hl_residual_v2,456,6131,1586,160,7717,6291,0.7783420083788244,0.8753569388920617
kitsap_1937,HL-Residual,hl_residual_v2,456,913,10,2153,923,3066,0.29681404421326396,0.45775883680120333
kitsap_1938,HL-Residual,hl_residual_v2,456,3198,365,622,3563,3820,0.76415770609319,0.8663145062982528
kitsap_1939,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_194,HL-Residual,hl_residual_v2,456,5763,1294,538,7057,6301,0.758788676761027,0.8628537206168588
kitsap_1940,HL-Residual,hl_residual_v2,456,3073,365,220,3438,3293,0.8400765445598688,0.9130886941019165
kitsap_1941,HL-Residual,hl_residual_v2,456,4551,1004,573,5555,5124,0.7426566579634465,0.852326996909823
kitsap_1942,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1943,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1944,HL-Residual,hl_residual_v2,456,20384,1915,1284,22299,21668,0.8643514395963194,0.9272408852093615
kitsap_1945,HL-Residual,hl_residual_v2,456,1641,2511,15,4152,1656,0.3938084953203744,0.5650826446280992
kitsap_1946,HL-Residual,hl_residual_v2,456,5436,196,534,5632,5970,0.8816088225754135,0.9370798138252026
kitsap_1947,HL-Residual,hl_residual_v2,456,8033,6523,1248,14556,9281,0.5082890407491775,0.6739942106808743
kitsap_1948,HL-Residual,hl_residual_v2,456,3187,917,155,4104,3342,0.7482977224700634,0.8560300832661832
kitsap_1949,HL-Residual,hl_residual_v2,456,0,0,117,0,117,0.0,0.0
kitsap_195,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1950,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1951,HL-Residual,hl_residual_v2,456,6246,665,1172,6911,7418,0.7727328962019052,0.871798450694396
kitsap_1952,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1953,HL-Residual,hl_residual_v2,456,0,700,0,700,0,0.0,0.0
kitsap_1954,HL-Residual,hl_residual_v2,456,0,102,0,102,0,0.0,0.0
kitsap_1955,HL-Residual,hl_residual_v2,456,3184,512,459,3696,3643,0.7663056558363418,0.8676931462052051
kitsap_1956,HL-Residual,hl_residual_v2,456,8071,803,926,8874,8997,0.8235714285714286,0.9032510771641207
kitsap_1957,HL-Residual,hl_residual_v2,456,7481,774,1203,8255,8684,0.790970606893635,0.8832870889662908
kitsap_1958,HL-Residual,hl_residual_v2,456,5205,916,1744,6121,6949,0.6617927527018436,0.7964804896710023
kitsap_1959,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_196,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1960,HL-Residual,hl_residual_v2,456,2229,366,55,2595,2284,0.8411320754716981,0.9137118261938922
kitsap_1961,HL-Residual,hl_residual_v2,456,3576,655,319,4231,3895,0.7859340659340659,0.8801378291902535
kitsap_1962,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1963,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1964,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1965,HL-Residual,hl_residual_v2,456,632,73,214,705,846,0.6877040261153428,0.8149580915538363
kitsap_1966,HL-Residual,hl_residual_v2,456,10528,1712,505,12240,11033,0.8260494311494704,0.9047393975851845
kitsap_1967,HL-Residual,hl_residual_v2,456,4553,473,674,5026,5227,0.7987719298245614,0.8881303033258559
kitsap_1968,HL-Residual,hl_residual_v2,456,460,88,88,548,548,0.7232704402515723,0.8394160583941606
kitsap_1969,HL-Residual,hl_residual_v2,456,9656,1352,689,11008,10345,0.8255108147388219,0.9044162412775723
kitsap_197,HL-Residual,hl_residual_v2,456,1779,369,324,2148,2103,0.7196601941747572,0.8369795342272407
kitsap_1970,HL-Residual,hl_residual_v2,456,8259,1007,581,9266,8840,0.8387326089164212,0.912294267093781
kitsap_1971,HL-Residual,hl_residual_v2,456,2577,2606,166,5183,2743,0.4817722938867078,0.6502649507948524
kitsap_1972,HL-Residual,hl_residual_v2,456,60,228,12,288,72,0.2,0.3333333333333333
kitsap_1973,HL-Residual,hl_residual_v2,456,11323,2552,1382,13875,12705,0.742151143737301,0.8519939804364184
kitsap_1974,HL-Residual,hl_residual_v2,456,10577,1346,1104,11923,11681,0.8119290703922623,0.8962040332147093
kitsap_1975,HL-Residual,hl_residual_v2,456,10224,1144,447,11368,10671,0.8653406686415573,0.9278097917328373
kitsap_1976,HL-Residual,hl_residual_v2,456,0,696,1220,696,1220,0.0,0.0
kitsap_1977,HL-Residual,hl_residual_v2,456,4273,1216,1905,5489,6178,0.5779010008114688,0.7324933573326476
kitsap_1978,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1979,HL-Residual,hl_residual_v2,456,8069,1173,1220,9242,9289,0.7712674440833492,0.8708650369650855
kitsap_198,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1980,HL-Residual,hl_residual_v2,456,9784,1583,679,11367,10463,0.8122198240079694,0.8963811268896015
kitsap_1981,HL-Residual,hl_residual_v2,456,6208,877,554,7085,6762,0.812671815682681,0.8966563154473893
kitsap_1982,HL-Residual,hl_residual_v2,456,17287,3235,865,20522,18152,0.8082947584981531,0.8939856234162487
kitsap_1983,HL-Residual,hl_residual_v2,456,15094,2210,1096,17304,16190,0.8203260869565218,0.901295754463486
kitsap_1984,HL-Residual,hl_residual_v2,456,10836,1247,1548,12083,12384,0.7949526813880127,0.8857644991212654
kitsap_1985,HL-Residual,hl_residual_v2,456,12573,894,1126,13467,13699,0.8615774686493525,0.9256423470514614
kitsap_1986,HL-Residual,hl_residual_v2,456,604,226,52,830,656,0.6848072562358276,0.8129205921938089
kitsap_1987,HL-Residual,hl_residual_v2,456,3181,469,83,3650,3264,0.8521296544334316,0.9201619901648829
kitsap_1988,HL-Residual,hl_residual_v2,456,4651,682,385,5333,5036,0.8133962924099335,0.8970971164046677
kitsap_1989,HL-Residual,hl_residual_v2,456,6453,2476,309,8929,6762,0.6985278198744317,0.8225097189471672
kitsap_199,HL-Residual,hl_residual_v2,456,0,0,0,0,0,1.0,1.0
kitsap_1990,HL-Residual,hl_residual_v2,456,7987,2316,552,10303,8539,0.7357899585444495,0.8477868591444645
kitsap_1991,HL-Residual,hl_residual_v2,456,3754,529,145,4283,3899,0.8477868112014454,0.9176240527988266
kitsap_1992,HL-Residual,hl_residual_v2,456,11430,1709,1002,13139,12432,0.8082879570044551,0.8939814633764812
kitsap_1993,HL-Residual,hl_residual_v2,456,10395,2334,539,12729,10934,0.783463973470003,0.8785868233106537
kitsap_1994,HL-Residual,hl_residual_v2,456,6114,626,1338,6740,7452,0.7568705125030948,0.8616121758737317
kitsap_1995,HL-Residual,hl_residual_v2,456,1167,127,44,1294,1211,0.8721973094170403,0.9317365269461078
kitsap_1996,HL-Residual,hl_residual_v2,456,4667,1927,379,6594,5046,0.6692958554424208,0.8018900343642612
kitsap_1997,HL-Residual,hl_residual_v2,456,6915,1575,1112,8490,8027,0.7201624661528848,0.8373191257492281
kitsap_1998,HL-Residual,hl_residual_v2,456,11330,2909,2015,14239,13345,0.6970591854312784,0.8214907192575406
kitsap_1999,HL-Residual,hl_residual_v2,456,0,0,126,0,126,0.0,0.0
