image_id,region,mIoU,F1,Boundary_IoU
dunedin_1029,Dunedin,0.7724369442936446,0.8716100697182899,0.4702334278319856
dunedin_103,Dunedin,0.38654150862009284,0.557562115834893,0.10607340046049969
dunedin_1030,Dunedin,0.7533509660648327,0.8593270607487392,0.45578262358841015
dunedin_1031,Dunedin,0.7449478378490378,0.8538339332449298,0.5129468918038087
dunedin_1032,Dunedin,0.7595702470105069,0.8633588210540774,0.4314085074038748
dunedin_1033,Dunedin,0.783047190645543,0.8783246957832708,0.4536340852140321
dunedin_1034,Dunedin,0.7165706338171219,0.8348862781412023,0.3658927817657959
dunedin_1035,Dunedin,0.7161343224305696,0.8345900586804872,0.33783468546865597
dunedin_1036,Dunedin,0.778389649273179,0.8753870667108533,0.4559133313284785
dunedin_1037,Dunedin,0.8099050969378865,0.8949696846625461,0.4463698179438806
dunedin_1038,Dunedin,0.7513164752614955,0.8580019498179917,0.407524023719454
dunedin_1039,Dunedin,0.7957343036311376,0.8862494880473323,0.4710842558576171
dunedin_104,Dunedin,0.21606057858340408,0.3553450911691139,0.1688145429788443
dunedin_1040,Dunedin,0.48128481570229237,0.6498207645150174,0.21100186022090656
dunedin_1041,Dunedin,0.6858569573207804,0.813659728771483,0.4310016267746642
dunedin_1042,Dunedin,0.7252703243899548,0.8407613741877891,0.44352682082962275
dunedin_1043,Dunedin,0.7921999471442742,0.8840530861598019,0.4759771412463808
dunedin_1044,Dunedin,0.7193582539302349,0.8367752936721031,0.42524612380156546
dunedin_1045,Dunedin,0.956472770637397,0.9777521926111694,0.5630187086822125
dunedin_1046,Dunedin,0.6512301013276968,0.7887817703861183,0.42406311642760725
dunedin_1047,Dunedin,1.0,1.0,1.0
dunedin_1048,Dunedin,1.0,1.0,1.0
dunedin_1049,Dunedin,1.0,1.0,1.0
dunedin_105,Dunedin,0.4586020797697549,0.6288241133478407,0.28048453663889966
dunedin_1050,Dunedin,1.0,1.0,1.0
dunedin_1051,Dunedin,1.0,1.0,1.0
dunedin_1052,Dunedin,1.0,1.0,1.0
dunedin_1053,Dunedin,0.4639339278481314,0.6338181239229731,0.11776381078664251
dunedin_1054,Dunedin,0.7488974641681623,0.8564223798268237,0.3639113800188455
dunedin_1055,Dunedin,0.7367709540365899,0.8484376737463407,0.36475418083885464
dunedin_1056,Dunedin,0.7029249630995227,0.8255501308994679,0.3666101392374005
dunedin_1057,Dunedin,0.7714668821237877,0.8709921589939922,0.40903156439824506
dunedin_1058,Dunedin,0.7818168419503503,0.8775501763632683,0.450248576988135
dunedin_1059,Dunedin,0.6738215637049002,0.8051295052183736,0.3395602675964564
dunedin_106,Dunedin,0.8653370214011484,0.9278076953096391,0.5734698013825145
dunedin_1060,Dunedin,0.796762319335015,0.8868867192515941,0.484398896058002
dunedin_1061,Dunedin,0.7390556357719593,0.8499505370267012,0.4088429071458492
dunedin_1062,Dunedin,0.7587389761305668,0.862821585724791,0.44230695314709173
dunedin_1063,Dunedin,0.7582333207336063,0.8624945413014461,0.4521875287842826
dunedin_1064,Dunedin,0.7074523305784625,0.8286642243636451,0.4209280303042766
dunedin_1065,Dunedin,0.8106650930113455,0.8954335024629492,0.5075268817214892
dunedin_1066,Dunedin,0.5654825430739023,0.7224386443332566,0.31036513546159755
dunedin_1067,Dunedin,0.7329236620641572,0.8458810715193675,0.4435394716074193
