image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
kitsap_846,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_847,Prompt-free LoRA,lora_light,42,2287,216,557,2503,2844,0.7473856209150327,0.8554329530577894
kitsap_848,Prompt-free LoRA,lora_light,42,324,74,304,398,628,0.46153846153846156,0.631578947368421
kitsap_849,Prompt-free LoRA,lora_light,42,5633,746,818,6379,6451,0.7826872307906072,0.8780982073265783
kitsap_85,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_850,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_851,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_852,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_853,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_854,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_855,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_856,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_857,Prompt-free LoRA,lora_light,42,0,837,0,837,0,0.0,0.0
kitsap_858,Prompt-free LoRA,lora_light,42,5664,378,1000,6042,6664,0.8043169554103948,0.8915473004879585
kitsap_859,Prompt-free LoRA,lora_light,42,627,572,150,1199,777,0.4647887323943662,0.6346153846153846
kitsap_86,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_860,Prompt-free LoRA,lora_light,42,0,0,838,0,838,0.0,0.0
kitsap_861,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_862,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_863,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_864,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_865,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_866,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_867,Prompt-free LoRA,lora_light,42,7320,802,1586,8122,8906,0.754017305315204,0.8597603946441156
kitsap_868,Prompt-free LoRA,lora_light,42,643,170,84,813,727,0.7168338907469343,0.8350649350649351
kitsap_869,Prompt-free LoRA,lora_light,42,872,1012,169,1884,1041,0.4247442766682903,0.5962393162393163
kitsap_87,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_870,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_871,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_872,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_873,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_874,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_875,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_876,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_877,Prompt-free LoRA,lora_light,42,1070,131,294,1201,1364,0.7157190635451505,0.834307992202729
kitsap_878,Prompt-free LoRA,lora_light,42,6674,951,1012,7625,7686,0.772722009957161,0.8717915224348508
kitsap_879,Prompt-free LoRA,lora_light,42,3650,3742,2663,7392,6313,0.3630034808552959,0.5326523166727472
kitsap_88,Prompt-free LoRA,lora_light,42,0,0,2,0,2,0.0,0.0
kitsap_880,Prompt-free LoRA,lora_light,42,10148,998,4883,11146,15031,0.6331025017156404,0.7753371280131413
kitsap_881,Prompt-free LoRA,lora_light,42,6343,713,245,7056,6588,0.8687850979317902,0.9297859865142187
kitsap_882,Prompt-free LoRA,lora_light,42,0,0,640,0,640,0.0,0.0
kitsap_883,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_884,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_885,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_886,Prompt-free LoRA,lora_light,42,1437,250,102,1687,1539,0.8032420346562326,0.8908865468071916
kitsap_887,Prompt-free LoRA,lora_light,42,1723,125,127,1848,1850,0.8724050632911392,0.9318550567874527
kitsap_888,Prompt-free LoRA,lora_light,42,5051,1298,190,6349,5241,0.7724422694601621,0.8716134598792062
kitsap_889,Prompt-free LoRA,lora_light,42,6691,2820,613,9511,7304,0.6609047807190833,0.7958370502527505
kitsap_89,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_890,Prompt-free LoRA,lora_light,42,13880,1705,3621,15585,17501,0.7226908257836093,0.8390255697273772
kitsap_891,Prompt-free LoRA,lora_light,42,14555,4292,594,18847,15149,0.7486754796563962,0.8562772090834215
kitsap_892,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_893,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_894,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_895,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_896,Prompt-free LoRA,lora_light,42,0,0,0,0,0,1.0,1.0
kitsap_897,Prompt-free LoRA,lora_light,42,458,144,68,602,526,0.6835820895522388,0.8120567375886525
