method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,123,kitsap_1306,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1306.tif,6731,252,10461,6983,17192,0.38586333,0.55685626,0.42334773
UNetFormer-style ResNet34,123,kitsap_1307,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1307.tif,2933,50,4742,2983,7675,0.37967638,0.55038469,0.36871019
UNetFormer-style ResNet34,123,kitsap_1308,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1308.tif,6603,1226,1222,7829,7825,0.72953265,0.84361824,0.64246898
UNetFormer-style ResNet34,123,kitsap_1309,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1309.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_131,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_131.tif,0,0,3493,0,3493,0.00000000,0.00000000,0.00000000
UNetFormer-style ResNet34,123,kitsap_1310,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1310.tif,13986,833,4028,14819,18014,0.74208097,0.85194774,0.59109904
UNetFormer-style ResNet34,123,kitsap_1311,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1311.tif,24612,320,6578,24932,31190,0.78108537,0.87708920,0.68711847
UNetFormer-style ResNet34,123,kitsap_1312,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1312.tif,800,1,3971,801,4771,0.16764459,0.28715004,0.22933297
UNetFormer-style ResNet34,123,kitsap_1313,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1313.tif,9679,366,6068,10045,15747,0.60069509,0.75054280,0.55747562
UNetFormer-style ResNet34,123,kitsap_1314,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1314.tif,6326,55,4800,6381,11126,0.56578124,0.72268236,0.53085065
UNetFormer-style ResNet34,123,kitsap_1315,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1315.tif,7024,114,8602,7138,15626,0.44625159,0.61711474,0.44974361
UNetFormer-style ResNet34,123,kitsap_1316,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1316.tif,6867,230,2750,7097,9617,0.69736976,0.82170635,0.63512178
UNetFormer-style ResNet34,123,kitsap_1317,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1317.tif,3496,82,4108,3578,7604,0.45485298,0.62529065,0.39045868
UNetFormer-style ResNet34,123,kitsap_1318,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1318.tif,818,10,55,828,873,0.92638732,0.96178718,0.93882979
UNetFormer-style ResNet34,123,kitsap_1319,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1319.tif,718,105,639,823,1357,0.49110807,0.65871560,0.49195671
UNetFormer-style ResNet34,123,kitsap_132,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_132.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1320,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1320.tif,2229,0,3616,2229,5845,0.38135158,0.55214268,0.30293429
UNetFormer-style ResNet34,123,kitsap_1321,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1321.tif,23641,632,3476,24273,27117,0.85195863,0.92006227,0.76068016
UNetFormer-style ResNet34,123,kitsap_1323,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1323.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1324,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1324.tif,9542,193,5209,9735,14751,0.63851713,0.77938414,0.61562374
UNetFormer-style ResNet34,123,kitsap_1326,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1326.tif,20855,1382,6810,22237,27665,0.71797432,0.83583824,0.62428638
UNetFormer-style ResNet34,123,kitsap_1327,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1327.tif,9753,602,2964,10355,12717,0.73226218,0.84544036,0.56620402
UNetFormer-style ResNet34,123,kitsap_1328,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1328.tif,9014,128,4677,9142,13691,0.65229032,0.78955897,0.50096201
UNetFormer-style ResNet34,123,kitsap_1329,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1329.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_133,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_133.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1330,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1330.tif,1587,0,2008,1587,3595,0.44144645,0.61250482,0.24296861
UNetFormer-style ResNet34,123,kitsap_1331,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1331.tif,1827,195,2540,2022,4367,0.40048224,0.57192049,0.31616162
UNetFormer-style ResNet34,123,kitsap_1332,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1332.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1333,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1333.tif,4546,147,1538,4693,6084,0.72957792,0.84364851,0.69407895
UNetFormer-style ResNet34,123,kitsap_1334,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1334.tif,2708,39,91,2747,2799,0.95419309,0.97655968,0.91677546
UNetFormer-style ResNet34,123,kitsap_1335,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1335.tif,10655,732,4850,11387,15505,0.65621728,0.79242898,0.54318444
UNetFormer-style ResNet34,123,kitsap_1336,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1336.tif,1369,50,865,1419,2234,0.59938704,0.74952094,0.44907758
UNetFormer-style ResNet34,123,kitsap_1337,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1337.tif,140,0,3204,140,3344,0.04186603,0.08036739,0.10180915
UNetFormer-style ResNet34,123,kitsap_1338,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1338.tif,9971,935,755,10906,10726,0.85507246,0.92187500,0.68955533
UNetFormer-style ResNet34,123,kitsap_1339,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1339.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1340,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1340.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1341,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1341.tif,12388,1193,2128,13581,14516,0.78859253,0.88180233,0.64234010
UNetFormer-style ResNet34,123,kitsap_1342,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1342.tif,276,34,30,310,306,0.81176471,0.89610390,0.91820041
UNetFormer-style ResNet34,123,kitsap_1343,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1343.tif,9683,945,510,10628,10193,0.86936613,0.93011863,0.76871602
UNetFormer-style ResNet34,123,kitsap_1344,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1344.tif,339,0,3900,339,4239,0.07997169,0.14809961,0.12051321
