image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
dunedin_979,Dunedin,456,DeepLabv3+ ResNet50,0.8037174721193333,0.8911788953010219,0.48116390651762525
dunedin_98,Dunedin,456,DeepLabv3+ ResNet50,0.9792162805802301,0.9894990155327108,0.5214138286955442
dunedin_980,Dunedin,456,DeepLabv3+ ResNet50,0.878069481407066,0.9350766732540289,0.6351532340669788
dunedin_981,Dunedin,456,DeepLabv3+ ResNet50,0.8734609465180944,0.9324570636408557,0.6337318720258117
dunedin_982,Dunedin,456,DeepLabv3+ ResNet50,0.8005219028071504,0.8892109577326873,0.5087648869295546
dunedin_983,Dunedin,456,DeepLabv3+ ResNet50,9.174311918188705e-10,9.174311918188705e-10,4.1493775916392623e-10
dunedin_984,Dunedin,456,DeepLabv3+ ResNet50,0.7270250445381219,0.8419392027192407,0.45115423219385825
dunedin_985,Dunedin,456,DeepLabv3+ ResNet50,0.8530421712513863,0.9206937483514108,0.39540949400367154
dunedin_986,Dunedin,456,DeepLabv3+ ResNet50,0.7158176075164561,0.8343749409967011,0.46281016713675216
dunedin_987,Dunedin,456,DeepLabv3+ ResNet50,0.8504613588193143,0.9191884551017043,0.5905298194428449
dunedin_988,Dunedin,456,DeepLabv3+ ResNet50,0.8237705409262459,0.9033708160543226,0.5401087171822881
dunedin_989,Dunedin,456,DeepLabv3+ ResNet50,0.8379228263595115,0.91181502764094,0.5836097384878187
dunedin_99,Dunedin,456,DeepLabv3+ ResNet50,2.309468821637536e-10,2.309468821637536e-10,1.9999999995999998e-10
dunedin_990,Dunedin,456,DeepLabv3+ ResNet50,0.8445049379591738,0.9156982131948217,0.5693408887572551
dunedin_991,Dunedin,456,DeepLabv3+ ResNet50,0.8276494023906671,0.9056982168549318,0.5469314079432734
dunedin_992,Dunedin,456,DeepLabv3+ ResNet50,0.8411857707511974,0.9137435060753698,0.5535271142194741
dunedin_993,Dunedin,456,DeepLabv3+ ResNet50,0.8730203849591583,0.9322059620596695,0.6117204247479642
dunedin_994,Dunedin,456,DeepLabv3+ ResNet50,0.8540059547978369,0.9212548132197497,0.5511025476353005
dunedin_995,Dunedin,456,DeepLabv3+ ResNet50,0.8833026430817817,0.938035791885623,0.6279468651930006
dunedin_996,Dunedin,456,DeepLabv3+ ResNet50,0.8928602552133298,0.9433979637473735,0.6479479620018532
dunedin_997,Dunedin,456,DeepLabv3+ ResNet50,0.8678740098919492,0.9292639710128084,0.5327509757599428
dunedin_998,Dunedin,456,DeepLabv3+ ResNet50,0.8760018996114752,0.9339029984914892,0.5400699162334497
dunedin_999,Dunedin,456,DeepLabv3+ ResNet50,0.8543054378104897,0.9214290379466171,0.490353459413604
khartoum_1,Khartoum,456,DeepLabv3+ ResNet50,0.2505772338995002,0.40073851835033125,0.17504842528750233
