image_name,region,image_path,gt_fg_ratio,lora_mIoU,hl_mIoU,lora_F1,hl_F1,lora_Boundary_IoU,hl_Boundary_IoU,lora_fp_ratio,hl_fp_ratio,lora_fn_ratio,hl_fn_ratio,delta_mIoU,delta_F1,delta_Boundary_IoU,delta_fp_ratio,delta_fn_ratio
potsdam_1048,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_1048.tif,0.09347915649414062,0.08347269241937538,0.02379677426473366,0.1540836109715322,0.046487300725874536,0.06531289662144574,0.06457489879489296,0.09357070922851562,0.08461761474609375,0.0778656005859375,0.08924102783203125,-0.059675918154641724,-0.10759631024565766,-0.0007379978265527748,0.008953094482421875,-0.01137542724609375
potsdam_170,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_170.tif,0.0,1.3477088946970743e-10,1.8691588781552974e-10,1.3477088946970743e-10,1.8691588781552974e-10,1.2953367873969771e-10,1.428571428367347e-10,0.00283050537109375,0.002040863037109375,0.0,0.0,5.214499834582231e-11,5.214499834582231e-11,1.3323464097036992e-11,0.000789642333984375,0.0
potsdam_906,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_906.tif,0.23925399780273438,0.5097695796554732,0.48613392194042854,0.6752945436503461,0.654226264219187,0.06062812485286817,0.0679755671942933,0.13754653930664062,0.12540435791015625,0.04717254638671875,0.061981201171875,-0.023635657715044667,-0.021068279431159187,0.007347442341425134,0.012142181396484375,-0.01480865478515625
potsdam_1000,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_1000.tif,0.0,1.6366612108614302e-10,4.0485829943123145e-10,1.6366612108614302e-10,4.0485829943123145e-10,1.3106159893433006e-10,2.5839793274976796e-10,0.002330780029296875,0.000942230224609375,0.0,0.0,2.4119217834508846e-10,2.4119217834508846e-10,1.273363338154379e-10,0.0013885498046875,0.0
potsdam_625,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_625.tif,0.2864570617675781,0.6539647597132257,0.6682509685347555,0.790784393527851,0.8011396140493109,0.14025626645178715,0.13243411496521088,0.13289642333984375,0.11725234985351562,0.01221466064453125,0.0166778564453125,0.014286208821529867,0.010355220521459874,-0.007822151486576279,0.015644073486328125,-0.00446319580078125
potsdam_1076,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_1076.tif,0.030303955078125,2.526209422754765e-12,2.618349392536085e-12,2.526209422754765e-12,2.618349392536085e-12,2.045408058865915e-11,2.7555800495245087e-11,0.12070083618164062,0.115386962890625,0.030303955078125,0.030303955078125,9.213996978131997e-14,9.213996978131997e-14,7.101719906585935e-12,0.005313873291015625,0.0
potsdam_155,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_155.tif,0.014713287353515625,1.8786398647026367e-11,2.0420665713285263e-11,1.8786398647026367e-11,2.0420665713285263e-11,4.033884630736834e-11,4.3365134430036205e-11,0.00559234619140625,0.00396728515625,0.014713287353515625,0.014713287353515625,1.6342670662588953e-12,1.6342670662588953e-12,3.0262881226678646e-12,0.00162506103515625,0.0
potsdam_686,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_686.tif,0.01904296875,0.653772813951869,0.6746846582623249,0.7906440454637569,0.8057453144175359,0.3033921302767058,0.3306750213804992,0.00896453857421875,0.00696563720703125,0.000732421875,0.001495361328125,0.020911844310455896,0.015101268953779057,0.027282891103793394,0.0019989013671875,-0.000762939453125
potsdam_520,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_520.tif,0.4789237976074219,0.3755579583580252,0.3454385031236202,0.5460445429811821,0.5134957893972366,0.08591002232900292,0.09197684593426675,0.07144546508789062,0.06583023071289062,0.2722282409667969,0.2907447814941406,-0.030119455234405013,-0.03254875358394549,0.006066823605263824,0.005615234375,-0.01851654052734375
potsdam_132,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_132.tif,0.0,7.246376806343206e-10,1.0,7.246376806343206e-10,1.0,3.9999999983999997e-10,1.0,0.00052642822265625,0.0,0.0,0.0,0.9999999992753623,0.9999999992753623,0.9999999996,0.00052642822265625,0.0
potsdam_305,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_305.tif,0.23918914794921875,0.6804529340730558,0.6749357411195216,0.8098446797003247,0.805924340319192,0.14128697042938124,0.1301521258670514,0.054576873779296875,0.050212860107421875,0.039295196533203125,0.04386138916015625,-0.005517192953534256,-0.003920339381132676,-0.011134844562329826,0.004364013671875,-0.004566192626953125
potsdam_839,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_839.tif,0.17560577392578125,0.4854379463084418,0.4756271351889202,0.6535957257784103,0.6446440619671584,0.02867592494949286,0.0372475511002706,0.035404205322265625,0.019802093505859375,0.07317352294921875,0.08266448974609375,-0.00981081111952159,-0.008951663811251898,0.00857162615077774,0.01560211181640625,-0.009490966796875
potsdam_78,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_78.tif,0.0041961669921875,8.116883116224279e-11,9.090909090082643e-11,8.116883116224279e-11,9.090909090082643e-11,1.5060240961587313e-10,2.1834061130603914e-10,0.0005035400390625,0.0,0.0041961669921875,0.0041961669921875,9.740259738583647e-12,9.740259738583647e-12,6.773820169016601e-11,0.0005035400390625,0.0
potsdam_571,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_571.tif,0.6657676696777344,0.6454559154370537,0.6242772665744358,0.7845313987224685,0.7686831299325627,0.08601948522749933,0.08646225282446972,0.043010711669921875,0.0302886962890625,0.208282470703125,0.23123550415039062,-0.021178648862617888,-0.01584826878990575,0.0004427675969703865,0.012722015380859375,-0.022953033447265625
potsdam_583,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_583.tif,0.3233070373535156,0.6692890379832601,0.584996308581079,0.8018851412236551,0.7381674082315502,0.04390311675522668,0.04111978372196782,0.029209136962890625,0.02288055419921875,0.087371826171875,0.12078857421875,-0.08429272940218113,-0.06371773299210481,-0.00278333303325886,0.006328582763671875,-0.033416748046875
potsdam_56,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_56.tif,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potsdam_415,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_415.tif,0.2425689697265625,0.7594579945802717,0.7556762024086369,0.8632863039863046,0.860837780191834,0.12179205622688215,0.11772520243473099,0.0389556884765625,0.031459808349609375,0.0287628173828125,0.035491943359375,-0.003781792171634879,-0.0024485237944705807,-0.004066853792151159,0.007495880126953125,-0.0067291259765625
potsdam_192,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_192.tif,0.1361236572265625,0.7592052005402693,0.7101482039695801,0.8631229606494365,0.8305107151777581,0.09098908835717187,0.06541510221889515,0.019382476806640625,0.01573944091796875,0.018062591552734375,0.028278350830078125,-0.04905699657068918,-0.0326122454716784,-0.025573986138276716,0.003643035888671875,-0.01021575927734375
potsdam_988,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_988.tif,0.3076057434082031,0.5861590391176035,0.5819394203533825,0.7390923919502775,0.7357290840167197,0.05921896422511513,0.05255274532865771,0.13766860961914062,0.130035400390625,0.046604156494140625,0.05292510986328125,-0.004219618764220945,-0.0033633079335578797,-0.006666218896457417,0.007633209228515625,-0.006320953369140625
potsdam_896,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_896.tif,0.27042388916015625,0.7415792960578155,0.8387664881574731,0.8516170325822696,0.9123143080532237,0.14499386092674965,0.2141270820529665,0.09232711791992188,0.047985076904296875,0.001415252685546875,0.003353118896484375,0.09718719209965765,0.06069727547095405,0.06913322112621684,0.044342041015625,-0.0019378662109375
potsdam_760,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_760.tif,0.11989974975585938,0.4765857948828183,0.433403852088163,0.645524014295776,0.6047198093633566,0.03445016280816668,0.012434198593098255,0.05792999267578125,0.053203582763671875,0.03514862060546875,0.0448760986328125,-0.043181942794655315,-0.04080420493241943,-0.022015964215068424,0.004726409912109375,-0.00972747802734375
potsdam_1070,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_1070.tif,0.005222320556640625,0.19333431648439267,0.19937304076490012,0.3240237271462676,0.3324621014201194,0.025439581031595975,0.0212930701114482,0.0206451416015625,0.019115447998046875,0.00022125244140625,0.000370025634765625,0.006038724280507446,0.0084383742738518,-0.0041465109201477765,0.001529693603515625,-0.000148773193359375
potsdam_641,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_641.tif,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potsdam_608,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_608.tif,0.0,1.0288065842562956e-10,1.2195121949732302e-10,1.0288065842562956e-10,1.2195121949732302e-10,1.4858841008193338e-10,1.6260162598982088e-10,0.0037078857421875,0.0031280517578125,0.0,0.0,1.9070561071693462e-11,1.9070561071693462e-11,1.40132159078875e-11,0.000579833984375,0.0
potsdam_399,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_399.tif,0.20360946655273438,0.4516717526876548,0.4454783416373462,0.6222780760886298,0.6163749795550899,0.02860365805310931,0.013801190699857465,0.026401519775390625,0.02227783203125,0.09972000122070312,0.1029815673828125,-0.006193411050308628,-0.005903096533539931,-0.014802467353251844,0.004123687744140625,-0.003261566162109375
potsdam_998,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_998.tif,0.0,3.422313483798004e-11,3.8624951717318464e-11,3.422313483798004e-11,3.8624951717318464e-11,6.574621958805087e-11,6.811989100353407e-11,0.01114654541015625,0.009876251220703125,0.0,0.0,4.401816879338422e-12,4.401816879338422e-12,2.3736714154831993e-12,0.001270294189453125,0.0
potsdam_21,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_21.tif,0.3281288146972656,0.6820974030754046,0.6842976779599502,0.8110082113297702,0.8125614455381711,0.08381415123335934,0.08886838868738903,0.08669662475585938,0.07271957397460938,0.045177459716796875,0.053829193115234375,0.002200274884545661,0.001553234208400922,0.005054237454029692,0.01397705078125,-0.0086517333984375
potsdam_942,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_942.tif,0.2592315673828125,0.43180107392028255,0.4113347606350806,0.603157913183906,0.5829017637882069,0.0521861777188051,0.05457137765441251,0.19686126708984375,0.1755218505859375,0.062290191650390625,0.08040237426757812,-0.02046631328520193,-0.020256149395699086,0.0023851999356074086,0.02133941650390625,-0.0181121826171875
potsdam_320,potsdam,/path/to/project/data/raw/processed_slim/target_whu/test/images/potsdam_320.tif,0.310455322265625,0.6895429951262246,0.6713408790109177,0.8162479405557911,0.8033560208353164,0.11024237686126738,0.10627018169981073,0.0307769775390625,0.0238800048828125,0.07516098022460938,0.08600234985351562,-0.018202116115306977,-0.012891919720474654,-0.003972195161456651,0.00689697265625,-0.01084136962890625
