image_name,seed,method,mIoU,F1,Boundary_IoU
khartoum_67,456,Compact-ResUNet target-adapted,0.4994254004084322,0.6661557157458046,0.2581283713576844
khartoum_670,456,Compact-ResUNet target-adapted,0.2635229640635065,0.4171241387107002,0.12392757321880196
khartoum_671,456,Compact-ResUNet target-adapted,0.5004346881121849,0.6670529441591619,0.18263339836676373
khartoum_672,456,Compact-ResUNet target-adapted,0.4663608255707252,0.6360792206638899,0.2267951107678162
khartoum_673,456,Compact-ResUNet target-adapted,0.4721319670098971,0.6414261460109477,0.2228435281570415
khartoum_674,456,Compact-ResUNet target-adapted,0.017187204241255364,0.03379359112852011,0.025018615044582953
khartoum_675,456,Compact-ResUNet target-adapted,0.24158074597879028,0.3891502775962427,0.15754886542823213
khartoum_676,456,Compact-ResUNet target-adapted,0.3355400269747729,0.5024784284950318,0.08839285715190086
khartoum_677,456,Compact-ResUNet target-adapted,0.5092838196305337,0.6748681898075065,0.22595344924827568
khartoum_678,456,Compact-ResUNet target-adapted,0.3218506090901564,0.48696971787337107,0.14432401597548966
khartoum_679,456,Compact-ResUNet target-adapted,0.41644781763824723,0.5880171686555349,0.17624699593119758
khartoum_68,456,Compact-ResUNet target-adapted,0.45363852253991177,0.6241421309433649,0.20282293677144547
khartoum_680,456,Compact-ResUNet target-adapted,0.302007818729639,0.46391091418066727,0.07791672393102984
khartoum_681,456,Compact-ResUNet target-adapted,0.27158794208748355,0.42716344359207364,0.1768352365483129
khartoum_682,456,Compact-ResUNet target-adapted,0.22537285951735062,0.36784372652616193,0.07784002861988508
khartoum_683,456,Compact-ResUNet target-adapted,0.28470285637026577,0.4432197763991494,0.15201175407191073
khartoum_684,456,Compact-ResUNet target-adapted,0.3350005683831419,0.5018732970069663,0.27316909671068934
khartoum_687,456,Compact-ResUNet target-adapted,0.19155354455568976,0.32151898738471396,0.08239947270386291
khartoum_688,456,Compact-ResUNet target-adapted,0.6470612651517224,0.7857160857846684,0.26669292890223856
khartoum_689,456,Compact-ResUNet target-adapted,0.5017397212333473,0.6682112940598098,0.265142446733204
khartoum_69,456,Compact-ResUNet target-adapted,0.3672400897538271,0.5371991247268239,0.1978679103869445
